track_type, General
count, 331
count_of_stream_of_this_kind, 1
kind_of_stream, General
other_kind_of_stream, ['General']
stream_identifier, 0
count_of_video_streams, 1
count_of_audio_streams, 1
video_format_list, AVC
video_format_withhint_list, AVC
codecs_video, AVC
audio_format_list, AAC LC
audio_format_withhint_list, AAC LC
audio_codecs, AAC LC
complete_name, assets/sample_video_redfort.mp4
file_name_extension, assets/sample_video_redfort.mp4
file_name, assets/sample_video_redfort
file_extension, mp4
format, MPEG-4
other_format, ['MPEG-4']
format_extensions_usually_used, braw mov mp4 m4v m4a m4b m4p m4r 3ga 3gpa 3gpp 3gp 3gpp2 3g2 k3g jpm jpx mqv ismv isma ismt f4a f4b f4v
commercial_name, MPEG-4
format_profile, Base Media
internet_media_type, video/mp4
codec_id, isom
other_codec_id, ['isom (isom/iso2/avc1/mp41)']
codec_id_url, http://www.apple.com/quicktime/download/standalone.html
codecid_compatible, isom/iso2/avc1/mp41
file_size, 5922497
other_file_size, ['5.65 MiB', '6 MiB', '5.6 MiB', '5.65 MiB', '5.648 MiB']
duration, 10022
other_duration, ['10 s 22 ms', '10 s 22 ms', '10 s 22 ms', '00:00:10.022', '00:00:10;00', '00:00:10.022 (00:00:10;00)']
overall_bit_rate, 4727597
other_overall_bit_rate, ['4 728 kb/s']
frame_rate, 29.970
other_frame_rate, ['29.970 FPS']
frame_count, 300
stream_size, 12297
other_stream_size, ['12.0 KiB (0%)', '12 KiB', '12 KiB', '12.0 KiB', '12.01 KiB', '12.0 KiB (0%)']
proportion_of_this_stream, 0.00208
headersize, 40
datasize, 5910208
footersize, 12249
isstreamable, No
file_creation_date, UTC 2022-08-13 16:51:25.727
file_creation_date__local, 2022-08-13 22:21:25.727
file_last_modification_date, UTC 2022-08-13 16:51:25.729
file_last_modification_date__local, 2022-08-13 22:21:25.729
writing_application, Lavf56.40.101
other_writing_application, ['Lavf56.40.101']
track_type, Video
count, 378
count_of_stream_of_this_kind, 1
kind_of_stream, Video
other_kind_of_stream, ['Video']
stream_identifier, 0
streamorder, 0
track_id, 1
other_track_id, ['1']
format, AVC
other_format, ['AVC']
format_info, Advanced Video Codec
format_url, http://developers.videolan.org/x264.html
commercial_name, AVC
format_profile, High@L4
format_settings, CABAC / 4 Ref Frames
format_settings__cabac, Yes
other_format_settings__cabac, ['Yes']
format_settings__reference_frames, 4
other_format_settings__reference_frames, ['4 frames']
internet_media_type, video/H264
codec_id, avc1
codec_id_info, Advanced Video Coding
duration, 10010
other_duration, ['10 s 10 ms', '10 s 10 ms', '10 s 10 ms', '00:00:10.010', '00:00:10;00', '00:00:10.010 (00:00:10;00)']
bit_rate, 4594948
other_bit_rate, ['4 595 kb/s']
width, 1920
other_width, ['1 920 pixels']
height, 1080
other_height, ['1 080 pixels']
stored_height, 1088
sampled_width, 1920
sampled_height, 1080
pixel_aspect_ratio, 1.000
display_aspect_ratio, 1.778
other_display_aspect_ratio, ['16:9']
rotation, 0.000
frame_rate_mode, CFR
other_frame_rate_mode, ['Constant']
framerate_mode_original, VFR
frame_rate, 29.970
other_frame_rate, ['29.970 (30000/1001) FPS']
framerate_num, 30000
framerate_den, 1001
frame_count, 300
color_space, YUV
chroma_subsampling, 4:2:0
other_chroma_subsampling, ['4:2:0']
bit_depth, 8
other_bit_depth, ['8 bits']
scan_type, Progressive
other_scan_type, ['Progressive']
bits__pixel_frame, 0.074
stream_size, 5749434
other_stream_size, ['5.48 MiB (97%)', '5 MiB', '5.5 MiB', '5.48 MiB', '5.483 MiB', '5.48 MiB (97%)']
proportion_of_this_stream, 0.97078
writing_library, x264 - core 142
other_writing_library, ['x264 core 142']
encoded_library_name, x264
encoded_library_version, core 142
encoding_settings, cabac=1 / ref=3 / deblock=1:0:0 / analyse=0x3:0x113 / me=hex / subme=7 / psy=1 / psy_rd=1.00:0.00 / mixed_ref=1 / me_range=16 / chroma_me=1 / trellis=1 / 8x8dct=1 / cqm=0 / deadzone=21,11 / fast_pskip=1 / chroma_qp_offset=-2 / threads=1 / lookahead_threads=1 / sliced_threads=0 / nr=0 / decimate=1 / interlaced=0 / bluray_compat=0 / constrained_intra=0 / bframes=3 / b_pyramid=2 / b_adapt=1 / b_bias=0 / direct=1 / weightb=1 / open_gop=0 / weightp=2 / keyint=250 / keyint_min=25 / scenecut=40 / intra_refresh=0 / rc_lookahead=40 / rc=crf / mbtree=1 / crf=23.0 / qcomp=0.60 / qpmin=0 / qpmax=69 / qpstep=4 / ip_ratio=1.40 / aq=1:1.00
codec_configuration_box, avcC
track_type, Audio
count, 280
count_of_stream_of_this_kind, 1
kind_of_stream, Audio
other_kind_of_stream, ['Audio']
stream_identifier, 0
streamorder, 1
track_id, 2
other_track_id, ['2']
format, AAC
other_format, ['AAC LC']
format_info, Advanced Audio Codec Low Complexity
commercial_name, AAC
format_settings__sbr, No (Explicit)
other_format_settings__sbr, ['No (Explicit)']
format_additionalfeatures, LC
codec_id, mp4a-40-2
duration, 10022
other_duration, ['10 s 22 ms', '10 s 22 ms', '10 s 22 ms', '00:00:10.022', '00:00:10:00', '00:00:10.022 (00:00:10:00)']
duration_lastframe, -5
other_duration_lastframe, ['-5 ms', '-5 ms', '-5 ms', '-00:00:00.005']
bit_rate_mode, CBR
other_bit_rate_mode, ['Constant']
bit_rate, 128339
other_bit_rate, ['128 kb/s']
channel_s, 2
other_channel_s, ['2 channels']
channel_positions, Front: L R
other_channel_positions, ['2/0/0']
channel_layout, L R
samples_per_frame, 1024
sampling_rate, 48000
other_sampling_rate, ['48.0 kHz']
samples_count, 481056
frame_rate, 46.875
other_frame_rate, ['46.875 FPS (1024 SPF)']
frame_count, 470
compression_mode, Lossy
other_compression_mode, ['Lossy']
stream_size, 160766
other_stream_size, ['157 KiB (3%)', '157 KiB', '157 KiB', '157 KiB', '157.0 KiB', '157 KiB (3%)']
proportion_of_this_stream, 0.02714
default, Yes
other_default, ['Yes']
alternate_group, 1
other_alternate_group, ['1']
